name,price,url
Smartphone Philco PCS02RG HIT MAX 128GB Rose,929.0,https://www.magazineluiza.com.br/smartphone-philco-pcs02rg-hit-max-128gb-rose-4g-4gb-ram-tela-6-cam-dupla-selfie-8mp/p/226408400/te/phhm/
Smartphone LG K41S 32GB Titânio 4G Octa-Core,836.07,https://www.magazineluiza.com.br/smartphone-lg-k41s-32gb-titanio-4g-octa-core-3gb-ram-655-cam-quadrupla-selfie-8mp/p/155583300/te/k41s/
Smartphone Samsung Galaxy A12 64GB Preto 4G,1439.1,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a12-64gb-preto-4g-octa-core-4gb-ram-65-cam-quadrupla-selfie-8mp/p/155615900/te/galx/
Smartphone Samsung Galaxy S20 FE 128GB Cloud,2609.1,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-s20-fe-128gb-cloud-orange-6gb-ram-tela-65-cam-tripla-selfie-32mp/p/155592300/te/gs2f/
"iPhone 12 Pro Max Apple 128GB Dourado 6,7”",9020.07,https://www.magazineluiza.com.br/iphone-12-pro-max-apple-128gb-dourado-67-cam-tripla-12mp-ios/p/155596100/te/12pm/
Smartphone Samsung Galaxy A31 128GB Dual Chip 4G 6.4” Octa-Core Android 10 Preto,1498.65,https://www.magazineluiza.com.br/smartphone-samsung-galaxy-a31-128gb-dual-chip-4g-6-4-octa-core-android-10-preto/p/bbfhj5dag0/te/ga31/
"iPhone 12 Pro Max Apple 256GB Prateado 6,7”",10499.0,https://www.magazineluiza.com.br/iphone-12-pro-max-apple-256gb-prateado-67-cam-tripla-12mp-ios/p/155596400/te/12pm/
Smartphone Xiaomi Redmi 9A 32GB Azul 4G Octa-Core ,949.0,https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-9a-32gb-azul-4g-octa-core-2gb-ram-653-cam-13mp-selfie-5mp-dual-chip/p/226911800/te/xiao/
"Smartphone Motorola Moto G9 Plus 128GB Tela 6,8"" - Qualcomm Snapdragon 730G - 4GB RAM - Câm. Quádrupla 64 MP",1999.0,https://www.magazineluiza.com.br/smartphone-motorola-moto-g9-plus-128gb-tela-68-qualcomm-snapdragon-730g-4gb-ram-cam-quadrupla-64-mp/p/acfk080b3f/te/srmt/
Smartphone Xiaomi Redmi Note 8,2399.99,https://www.magazineluiza.com.br/smartphone-xiaomi-redmi-note-8/p/eg21918eb3/te/red8/
